Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,OD,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS20X.500,HSS20.000X0.500,F,104,28.5,20,0.5,0.465,43,1360,177,136,6.91,1360,177,136,6.91,2720,272
HSS,HSS20X.375,HSS20.000X0.375,F,78.67,21.5,20,0.375,0.349,57.3,1040,135,104,6.95,1040,135,104,6.95,2080,208
HSS,HSS18X.500,HSS18.000X0.500,F,93.54,25.6,18,0.5,0.465,38.7,985,143,109,6.2,985,143,109,6.2,1970,219
HSS,HSS18X.375,HSS18.000X0.375,F,70.66,19.4,18,0.375,0.349,51.6,754,109,83.8,6.24,754,109,83.8,6.24,1510,168
HSS,HSS16X.625,HSS16.000X0.625,F,103,28.1,16,0.625,0.581,27.5,838,138,105,5.46,838,138,105,5.46,1680,209
HSS,HSS16X.500,HSS16.000X0.500,F,82.85,22.7,16,0.5,0.465,34.4,685,112,85.7,5.49,685,112,85.7,5.49,1370,171
HSS,HSS16X.438,HSS16.000X0.438,F,72.87,19.9,16,0.438,0.407,39.3,606,99,75.8,5.51,606,99,75.8,5.51,1210,152
HSS,HSS16X.375,HSS16.000X0.375,F,62.64,17.2,16,0.375,0.349,45.8,526,85.5,65.7,5.53,526,85.5,65.7,5.53,1050,131
HSS,HSS16X.312,HSS16.000X0.312,F,52.32,14.4,16,0.312,0.291,55,443,71.8,55.4,5.55,443,71.8,55.4,5.55,886,111
HSS,HSS16X.250,HSS16.000X0.250,F,42.09,11.5,16,0.25,0.233,68.7,359,57.9,44.8,5.58,359,57.9,44.8,5.58,717,89.7
HSS,HSS14X.625,HSS14.000X0.625,F,89.36,24.5,14,0.625,0.581,24.1,552,105,78.9,4.75,552,105,78.9,4.75,1100,158
HSS,HSS14X.500,HSS14.000X0.500,F,72.16,19.8,14,0.5,0.465,30.1,453,85.2,64.8,4.79,453,85.2,64.8,4.79,907,130
HSS,HSS14X.375,HSS14.000X0.375,F,54.62,15,14,0.375,0.349,40.1,349,65.1,49.8,4.83,349,65.1,49.8,4.83,698,100
HSS,HSS14X.312,HSS14.000X0.312,F,45.65,12.5,14,0.312,0.291,48.1,295,54.7,42.1,4.85,295,54.7,42.1,4.85,589,84.2
HSS,HSS14X.250,HSS14.000X0.250,F,36.75,10.1,14,0.25,0.233,60.1,239,44.2,34.1,4.87,239,44.2,34.1,4.87,478,68.2
HSS,HSS12.75X.500,HSS12.750X0.500,F,65.48,17.9,12.8,0.5,0.465,27.4,339,70.2,53.2,4.35,339,70.2,53.2,4.35,678,106
HSS,HSS12.75X.375,HSS12.750X0.375,F,49.61,13.6,12.8,0.375,0.349,36.5,262,53.7,41,4.39,262,53.7,41,4.39,523,82.1
HSS,HSS12.75X.250,HSS12.750X0.250,F,33.41,9.16,12.8,0.25,0.233,54.7,180,36.5,28.2,4.43,180,36.5,28.2,4.43,359,56.3
HSS,HSS10.75X.500,HSS10.750X0.500,F,54.79,15,10.8,0.5,0.465,23.1,199,49.2,37,3.64,199,49.2,37,3.64,398,74.1
