Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,Ht,h,B,b,tnom,tdes,b/tdes,h/tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS24X12X.750,HSS24X12X3/4,F,171.16,47.1,24,21.9,12,9.91,0.75,0.698,14.2,31.4,3440,359,287,8.55,1170,221,195,4.98,2850,366
HSS,HSS24X12X.625,HSS24X12X5/8,F,144.39,39.6,24,22.3,12,10.3,0.625,0.581,17.7,38.4,2940,304,245,8.62,1000,188,167,5.03,2430,310
HSS,HSS24X12X.500,HSS24X12X1/2,F,116.91,32.1,24,22.6,12,10.6,0.5,0.465,22.8,48.6,2420,248,202,8.68,829,154,138,5.08,1980,252
HSS,HSS22X22X.875,HSS22X22X7/8,F,244.88,67.3,22,19.6,22,19.6,0.875,0.814,24.1,24.1,4970,530,452,8.59,4970,530,452,8.59,7890,729
HSS,HSS22X22X.750,HSS22X22X3/4,F,212,58.2,22,19.9,22,19.9,0.75,0.698,28.5,28.5,4350,462,395,8.65,4350,462,395,8.65,6860,632
HSS,HSS20X20X.875,HSS20X20X7/8,F,221.06,60.8,20,17.6,20,17.6,0.875,0.814,21.6,21.6,3670,433,367,7.77,3670,433,367,7.77,5870,597
HSS,HSS20X20X.750,HSS20X20X3/4,F,191.58,52.6,20,17.9,20,17.9,0.75,0.698,25.6,25.6,3230,378,323,7.84,3230,378,323,7.84,5110,519
HSS,HSS20X20X.625,HSS20X20X5/8,F,161.4,44.3,20,18.3,20,18.3,0.625,0.581,31.5,31.5,2750,320,275,7.88,2750,320,275,7.88,4320,437
HSS,HSS20X20X.500,HSS20X20X1/2,F,130.52,35.8,20,18.6,20,18.6,0.5,0.465,40,40,2260,261,226,7.95,2260,261,226,7.95,3510,355
HSS,HSS20X12X.750,HSS20X12X3/4,F,150.75,41.5,20,17.9,12,9.91,0.75,0.698,14.2,25.6,2190,270,219,7.26,988,190,165,4.88,2220,303
HSS,HSS20X12X.625,HSS20X12X5/8,F,127.37,35,20,18.3,12,10.3,0.625,0.581,17.7,31.4,1880,230,188,7.33,851,162,142,4.93,1890,257
HSS,HSS20X12X.500,HSS20X12X1/2,F,103.3,28.3,20,18.6,12,10.6,0.5,0.465,22.8,40,1550,188,155,7.39,705,132,117,4.99,1540,209
HSS,HSS20X12X.375,HSS20X12X3/8,F,78.52,21.5,20,19,12,11,0.375,0.349,31.4,54.3,1200,144,120,7.45,547,102,91.1,5.04,1180,160
HSS,HSS20X12X.313,HSS20X12X5/16,F,65.87,18.1,20,19.1,12,11.1,0.3125,0.291,38.2,65.7,1010,122,101,7.48,464,85.8,77.3,5.07,997,134
HSS,HSS20X8X.625,HSS20X8X5/8,F,110.36,30.3,20,18.3,8,6.26,0.625,0.581,10.8,31.4,1440,185,144,6.89,338,96.4,84.6,3.34,916,167
