Size,Type,d,b,t,R1,R2,W,A,Ix,Sx,rx,y,Iy,Sy,ry,x,Iz,rz,a
L 1 1/2 x 1 1/2 x 1/8,Aluminum Association,1.500,1.500,0.125,0.188,0.125,0.42,0.360,0.0745,0.0684,0.455,0.411,0.0745,0.0684,0.455,0.411,0.0282,0.280,45
L 1 1/2 x 1 1/2 x 1/4,Aluminum Association,1.500,1.500,0.250,0.188,0.125,0.81,0.688,0.135,0.130,0.444,0.461,0.135,0.130,0.444,0.461,0.0556,0.284,45
L 1 3/4 x 1 3/4 x 1/8,Aluminum Association,1.750,1.750,0.125,0.188,0.125,0.50,0.423,0.121,0.0948,0.535,0.473,0.121,0.0948,0.535,0.473,0.0462,0.330,45
L 1 3/4 x 1 3/4 x 1/4,Aluminum Association,1.750,1.750,0.250,0.188,0.125,0.96,0.813,0.223,0.182,0.523,0.524,0.223,0.182,0.523,0.524,0.0904,0.333,45
L 1 3/4 x 1 3/4 x 3/8,Aluminum Association,1.750,1.750,0.375,0.188,0.125,1.38,1.17,0.306,0.259,0.511,0.570,0.306,0.259,0.511,0.570,0.132,0.336,45
L 2 x 2 x 1/8,Aluminum Association,2.000,2.000,0.125,0.250,0.125,0.58,0.491,0.185,0.126,0.613,0.531,0.185,0.126,0.613,0.531,0.071,0.381,45
L 2 x 2 x 3/16,Aluminum Association,2.000,2.000,0.188,0.250,0.125,0.85,0.723,0.268,0.186,0.608,0.560,0.268,0.186,0.608,0.560,0.106,0.382,45
L 2 x 2 x 1/4,Aluminum Association,2.000,2.000,0.250,0.250,0.125,1.11,0.944,0.342,0.242,0.602,0.585,0.342,0.242,0.602,0.585,0.138,0.382,45
L 2 x 2 x 5/16,Aluminum Association,2.000,2.000,0.312,0.250,0.125,1.36,1.16,0.410,0.295,0.595,0.609,0.410,0.295,0.595,0.609,0.169,0.383,45
L 2 x 2 x 3/8,Aluminum Association,2.000,2.000,0.375,0.250,0.125,1.61,1.37,0.474,0.346,0.589,0.632,0.474,0.346,0.589,0.632,0.201,0.383,45
L 2 1/2 x 2 1/2 x 1/8,Aluminum Association,2.500,2.500,0.125,0.250,0.125,0.72,0.616,0.369,0.200,0.774,0.655,0.369,0.200,0.774,0.655,0.143,0.483,45
L 2 1/2 x 2 1/2 x 3/16,Aluminum Association,2.500,2.500,0.188,0.250,0.125,1.07,0.911,0.539,0.297,0.769,0.684,0.539,0.297,0.769,0.684,0.213,0.484,45
L 2 1/2 x 2 1/2 x 1/4,Aluminum Association,2.500,2.500,0.250,0.250,0.125,1.40,1.19,0.695,0.388,0.763,0.710,0.695,0.388,0.763,0.710,0.278,0.483,45
L 2 1/2 x 2 1/2 x 5/16,Aluminum Association,2.500,2.500,0.312,0.250,0.125,1.73,1.47,0.839,0.475,0.756,0.734,0.839,0.475,0.756,0.734,0.341,0.482,45
L 2 1/2 x 2 1/2 x 3/8,Aluminum Association,2.500,2.500,0.375,0.250,0.125,2.05,1.74,0.976,0.560,0.749,0.757,0.976,0.560,0.749,0.757,0.403,0.481,45
L 2 1/2 x 2 1/2 x 1/2,Aluminum Association,2.500,2.500,0.500,0.250,0.125,2.65,2.26,1.22,0.718,0.735,0.802,1.22,0.718,0.735,0.802,0.525,0.482,45
L 3 x 3 x 3/16,Aluminum Association,3.000,3.000,0.188,0.312,0.250,1.28,1.09,0.908,0.412,0.914,0.797,0.908,0.412,0.914,0.797,0.332,0.553,45
L 3 x 3 x 1/4,Aluminum Association,3.000,3.000,0.250,0.312,0.250,1.68,1.43,1.19,0.547,0.912,0.826,1.19,0.547,0.912,0.826,0.450,0.560,45
L 3 x 3 x 5/16,Aluminum Association,3.000,3.000,0.312,0.312,0.250,2.08,1.77,1.45,0.677,0.907,0.852,1.45,0.677,0.907,0.852,0.563,0.564,45
L 3 x 3 x 3/8,Aluminum Association,3.000,3.000,0.375,0.312,0.250,2.47,2.10,1.71,0.804,0.901,0.877,1.71,0.804,0.901,0.877,0.674,0.566,45
L 3 x 3 x 1/2,Aluminum Association,3.000,3.000,0.500,0.312,0.250,3.23,2.74,2.17,1.04,0.889,0.924,2.17,1.04,0.889,0.924,0.888,0.569,45
L 3 1/2 x 3 1/2 x 1/4,Aluminum Association,3.500,3.500,0.250,0.375,0.250,1.99,1.69,1.94,0.758,1.07,0.947,1.94,0.758,1.07,0.947,0.739,0.661,45
L 3 1/2 x 3 1/2 x 5/16,Aluminum Association,3.500,3.500,0.313,0.375,0.250,2.47,2.10,2.38,0.942,1.07,0.974,2.38,0.942,1.07,0.974,0.924,0.664,45
L 3 1/2 x 3 1/2 x 3/8,Aluminum Association,3.500,3.500,0.375,0.375,0.250,2.93,2.49,2.79,1.12,1.06,1.00,2.79,1.12,1.06,1.00,1.10,0.665,45
L 3 1/2 x 3 1/2 x 1/2,Aluminum Association,3.500,3.500,0.500,0.375,0.250,3.83,3.25,3.57,1.45,1.05,1.05,3.57,1.45,1.05,1.05,1.45,0.667,45
L 4 x 4 x 1/4,Aluminum Association,4.000,4.000,0.250,0.375,0.250,2.28,1.94,2.94,1.00,1.23,1.07,2.94,1.00,1.23,1.07,1.13,0.762,45
L 4 x 4 x 5/16,Aluminum Association,4.000,4.000,0.313,0.375,0.250,2.83,2.41,3.62,1.25,1.23,1.10,3.62,1.25,1.23,1.10,1.41,0.765,45
L 4 x 4 x 3/8,Aluminum Association,4.000,4.000,0.375,0.375,0.250,3.37,2.86,4.26,1.48,1.22,1.12,4.26,1.48,1.22,1.12,1.68,0.766,45
L 4 x 4 x 7/16,Aluminum Association,4.000,4.000,0.438,0.375,0.250,3.90,3.32,4.89,1.71,1.21,1.15,4.89,1.71,1.21,1.15,1.95,0.766,45
L 4 x 4 x 1/2,Aluminum Association,4.000,4.000,0.500,0.375,0.250,4.41,3.75,5.47,1.93,1.21,1.17,5.47,1.93,1.21,1.17,2.20,0.766,45
L 4 x 4 x 9/16,Aluminum Association,4.000,4.000,0.563,0.375,0.250,4.93,4.19,6.04,2.15,1.20,1.20,6.04,2.15,1.20,1.20,2.46,0.766,45
L 4 x 4 x 5/8,Aluminum Association,4.000,4.000,0.625,0.375,0.250,5.42,4.61,6.57,2.36,1.19,1.22,6.57,2.36,1.19,1.22,2.71,0.766,45
L 4 x 4 x 11/16,Aluminum Association,4.000,4.000,0.688,0.375,0.250,5.92,5.03,7.09,2.57,1.19,1.24,7.09,2.57,1.19,1.24,2.96,0.767,45
